Program Internal Form (PIF):
Token | Symbol Table Position
43 | 0
41 | 1
24 | 0
30 | 0
11 | 0
42 | 2
43 | 0
41 | 3
24 | 0
30 | 0
11 | 0
42 | 2
43 | 0
41 | 4
24 | 0
30 | 0
11 | 0
42 | 2
43 | 0
39 | 0
19 | 0
41 | 1
20 | 0
43 | 0
43 | 0
29 | 0
19 | 0
41 | 4
6 | 0
41 | 1
20 | 0
43 | 0
21 | 0
43 | 0
41 | 5
24 | 0
30 | 0
11 | 0
42 | 2
43 | 0
39 | 0
19 | 0
41 | 5
20 | 0
43 | 0
43 | 0
41 | 3
11 | 0
41 | 3
1 | 0
41 | 5
43 | 0
41 | 4
11 | 0
41 | 4
1 | 0
42 | 6
43 | 0
22 | 0
43 | 0
43 | 0
40 | 0
19 | 0
41 | 3
20 | 0
43 | 0
